distinct_files,total_occurrences,token_normalized,token_example_casing,example_file,example_line
85,301,"ZONES","ZONES","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/3_Highway/_Network Processing Tools/Copy SEGID field from One Master Network to Another/CopySEGIDfieldfromOneMasterNetworktoAnother.s",9
52,52,"SCRIPTSTARTTIME","ScriptStartTime","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/a_Setup/1_InputSetup.s",22
52,52,"SCRIPTRUNTIME","ScriptRunTime","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/a_Setup/1_InputSetup.s",407
52,52,"SCRIPTENDTIME","ScriptEndTime","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/a_Setup/1_InputSetup.s",406
48,135,"ZONEMSG","ZONEMSG","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/4_Transit/_chk Transit Compile on Net/_TransitRouteTester - 1 - BY_2019.s",134
33,33,"TRANSPEEDFIELD","TranSpeedField","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/4_Transit/_chk Transit Compile on Net/_TransitRouteTester - 1 - BY_2019.s",58
33,33,"PARENTDIR","ParentDir","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/4_Transit/_chk Transit Compile on Net/_TransitRouteTester - 1 - BY_2019.s",7
33,33,"MLIN","Mlin","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/4_Transit/_chk Transit Compile on Net/_TransitRouteTester - 1 - BY_2019.s",25
33,33,"LNFIELD","LNfield","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/4_Transit/_chk Transit Compile on Net/_TransitRouteTester - 1 - BY_2019.s",56
33,33,"FTFIELD","FTfield","/d/GitHub/WF-TDM-Official-Releases/1_Inputs/4_Transit/_chk Transit Compile on Net/_TransitRouteTester - 1 - BY_2019.s",57
22,22,"REL_LN","Rel_LN","/d/GitHub/WF-TDM-Official-Releases/2_ModelScripts/0_InputProcessing/c_NetworkProcessing/1_NetProcessor.s",772
